Fund,Ticker,Date,Market Price,Shares Held,Weight,Market Value
arkq,TSLA,9/3/2020,$407.00,135357,9.11%,$55090299.00
arkq,TSLA,9/4/2020,$418.32,135357,9.50%,$56622540.24
arkq,TSLA,9/4/2020,$418.32,135357,9.50%,$56622540.24
arkq,TSLA,9/4/2020,$418.32,135357,9.50%,$56622540.24
arkq,TSLA,9/8/2020,$330.21,147052,8.57%,$48558040.92
arkq,TSLA,9/10/2020,$371.34,152078,9.32%,$56472644.52
arkq,TSLA,9/11/2020,$372.72,152078,9.38%,$56682512.16
arkq,TSLA,9/14/2020,$419.62,152078,10.30%,$63814970.36
arkq,TSLA,9/15/2020,$449.76,155663,10.89%,$70010990.88
arkq,TSLA,9/16/2020,$441.76,157097,10.77%,$69399170.72
arkq,TSLA,9/21/2020,$449.39,159965,11.43%,$71886671.35
arkq,TSLA,9/22/2020,$424.23,159965,10.84%,$67861951.95
arkq,TSLA,9/23/2020,$380.36,159965,10.04%,$60844287.40
arkq,TSLA,9/24/2020,$387.79,161168,10.43%,$62499338.72
arkq,TSLA,9/25/2020,$407.34,161168,10.71%,$65650173.12
arkq,TSLA,9/28/2020,$421.20,161168,10.78%,$67883961.60
arkq,TSLA,9/29/2020,$419.07,161168,10.69%,$67540673.76
arkq,TSLA,9/30/2020,$429.01,163355,10.92%,$70080928.55
arkq,TSLA,10/1/2020,$448.16,163355,11.22%,$73209176.80
arkq,TSLA,10/2/2020,$415.09,163355,10.57%,$67807026.95
arkq,TSLA,10/5/2020,$425.68,166275,10.60%,$70779942.00
arkq,TSLA,10/6/2020,$413.98,167004,10.35%,$69136315.92
