Fund,Ticker,Date,Market Price,Shares Held,Weight,Market Value
arkw,TSLA,9/3/2020,$407.00,542635,9.05%,$220852445.00
arkw,TSLA,9/4/2020,$418.32,527204,9.53%,$220539977.28
arkw,TSLA,9/4/2020,$418.32,527204,9.53%,$220539977.28
arkw,TSLA,9/4/2020,$418.32,527204,9.53%,$220539977.28
arkw,TSLA,9/8/2020,$330.21,578811,8.68%,$191129180.31
arkw,TSLA,9/10/2020,$371.34,576199,9.61%,$213965736.66
arkw,TSLA,9/11/2020,$372.72,577502,9.70%,$215246545.44
arkw,TSLA,9/14/2020,$419.62,585320,10.61%,$245611978.40
arkw,TSLA,9/15/2020,$449.76,585320,11.08%,$263253523.20
arkw,TSLA,9/16/2020,$441.76,585320,10.97%,$258570963.20
arkw,TSLA,9/21/2020,$449.39,589229,11.10%,$264793620.31
arkw,TSLA,9/22/2020,$424.23,589229,10.34%,$249968618.67
arkw,TSLA,9/23/2020,$380.36,611419,9.97%,$232559330.84
arkw,TSLA,9/24/2020,$387.79,631213,10.50%,$244778089.27
arkw,TSLA,9/25/2020,$407.34,629817,10.73%,$256549656.78
arkw,TSLA,9/28/2020,$421.20,627025,10.90%,$264102930.00
arkw,TSLA,9/29/2020,$419.07,627025,10.81%,$262767366.75
arkw,TSLA,9/30/2020,$429.01,631213,11.04%,$270796689.13
arkw,TSLA,10/1/2020,$448.16,643777,11.18%,$288515100.32
arkw,TSLA,10/2/2020,$415.09,643777,10.52%,$267225394.93
arkw,TSLA,10/5/2020,$425.68,647965,10.56%,$275825741.20
arkw,TSLA,10/6/2020,$413.98,650757,10.36%,$269400382.86
